scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,254.4979,251.9529,254.4979,14-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,251.9529,3/14/2014,254.4979,254.4979,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,255.6592,253.1026,255.6592,18-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,253.1026,3/18/2014,255.6592,255.6592,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,255.8115,253.2534,255.8115,19-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,253.2534,3/19/2014,255.8115,255.8115,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,253.8847,251.3459,253.8847,20-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,251.3459,3/20/2014,253.8847,253.8847,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,253.3975,250.8635,253.3975,21-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,250.8635,3/21/2014,253.3975,253.3975,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,257.0986,254.5276,257.0986,24-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,254.5276,3/24/2014,257.0986,257.0986,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,256.9805,254.4107,256.9805,25-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,254.4107,3/25/2014,256.9805,256.9805,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,258.0184,255.4382,258.0184,26-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,255.4382,3/26/2014,258.0184,258.0184,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,259.8375,257.2391,259.8375,27-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,257.2391,3/27/2014,259.8375,259.8375,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,262.5035,259.8785,262.5035,28-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,259.8785,3/28/2014,262.5035,262.5035,,,,,,,,,,
