scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.453,19.258,19.453,19-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.258,2014-08-19,19.453,19.453
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.528,19.333,19.528,20-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.333,2014-08-20,19.528,19.528
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.757,19.559,19.757,21-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.5590,2014-08-21,19.757,19.757
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.923000000000002,19.724,19.923000000000002,22-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.7240,2014-08-22,19.923000000000002,19.923000000000002
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.795,19.597,19.795,25-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.597,2014-08-25,19.795,19.795
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.806,19.608,19.806,26-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.608,2014-08-26,19.806,19.806
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.972,19.772,19.972,27-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.772,2014-08-27,19.972,19.972
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.93,19.731,19.93,28-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.731,2014-08-28,19.93,19.93
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.186,19.984,20.186,01-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.9840,2014-09-01,20.186,20.186
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.307,20.104,20.307,02-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.104,2014-09-02,20.307,20.307
