scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,Return,Variance,SD,NIFTY 50 Return,Var N50,SD  Nifty
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2779,12.2779,12.2779,27-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2779,3/27/2015,12.2779,12.2779,0.17%,1.0922E-09,3.30484E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3272,12.3272,12.3272,30-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3272,3/30/2015,12.3272,12.3272,0.40%,6.29804E-09,7.93602E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.343,12.343,12.343,31-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.343,3/31/2015,12.343,12.343,0.13%,6.4197E-10,2.53371E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.4002,12.4002,12.4002,6-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.4002,4/6/2015,12.4002,12.4002,0.46%,8.39557E-09,9.16273E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3956,12.3956,12.3956,7-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3956,4/7/2015,12.3956,12.3956,-0.04%,5.3818E-11,7.33608E-06,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.4076,12.4076,12.4076,8-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.4076,4/8/2015,12.4076,12.4076,0.10%,3.66663E-10,1.91484E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.4231,12.4231,12.4231,9-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.4231,4/9/2015,12.4231,12.4231,0.12%,6.10797E-10,2.47143E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.4164,12.4164,12.4164,10-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.4164,4/10/2015,12.4164,12.4164,-0.05%,1.13886E-10,1.06717E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.4335,12.4335,12.4335,13-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.4335,4/13/2015,12.4335,12.4335,0.14%,7.42934E-10,2.72568E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.4144,12.4144,12.4144,15-Apr-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.4144,4/15/2015,12.4144,12.4144,-0.15%,9.24697E-10,3.04088E-05,,,
